Xelaev18004747m|Xelaev18004747m.g
Xelaev18004748m|Xetrov90028798m.L
Xelaev18004749m|Xelaev18004749m.g
Xelaev18004750m|Xelaev18004750m.g
Xelaev18004751m|Xelaev18004751m.g
Xelaev18004752m|Xelaev18004752m.g
Xelaev18004753m|Xelaev18004753m.g
Xelaev18004754m|Xelaev18004754m.g
Xelaev18004755m|Xetrov90000197m.L
Xelaev18004756m|Xelaev18004756m.g
Xelaev18004757m|Xelaev18004757m.g
Xelaev18004758m|Xetrov90000134m.L
Xelaev18004759m|loc652493.L
Xelaev18004760m|Xelaev18004760m.g
Xelaev18004761m|loc100130100.L
Xelaev18004762m|Xelaev18004762m.g
Xelaev18004763m|Xelaev18004763m.g
Xelaev18004764m|Xetrov90000149m.L
Xelaev18004765m|Xelaev18004765m.g
Xelaev18004766m|Xelaev18004766m.g
Xelaev18004767m|Xelaev18004767m.g
Xelaev18004768m|Xetrov90000201m.L
Xelaev18004769m|Xelaev18004769m.g
Xelaev18004770m|Xelaev18004770m.g
Xelaev18004771m|Xelaev18004771m.g
Xelaev18004772m|loc100493148.L
Xelaev18004773m|Xelaev18004773m.g
Xelaev18004774m|Xelaev18004774m.g
Xelaev18004775m|Xelaev18004775m.g
Xelaev18004776m|Xelaev18004776m.g
Xelaev18004777m|Xelaev18004777m.g
Xelaev18004779m|or6c4.L
Xelaev18004780m|Xelaev18004780m.g
Xelaev18004781m|Xetrov90000141m.L
Xelaev18004782m|Xetrov90029775m.L
Xelaev18004783m|Xetrov90000140m.L
Xelaev18004784m|Xetrov90000136m.L
Xelaev18004786m|Xetrov90000181m.L
Xelaev18004787m|Xelaev18004787m.g
Xelaev18004788m|Xelaev18004788m.g
Xelaev18004789m|Xelaev18004789m.g
Xelaev18004790m|Xelaev18004790m.g
Xelaev18004791m|Xelaev18004791m.g
Xelaev18004792m|Xelaev18004792m.g
Xelaev18004793m|Xelaev18004793m.g
Xelaev18004794m|Xelaev18004794m.g
Xelaev18004795m|Xelaev18004795m.g
Xelaev18004796m|loc650405.L
Xelaev18004797m|Xetrov90000165m.L
Xelaev18004798m|Xelaev18004798m.g
Xelaev18004799m|Xelaev18004799m.g
Xelaev18004800m|Xelaev18004800m.g
Xelaev18004801m|Xelaev18004801m.g
Xelaev18004802m|Xelaev18004802m.g
Xelaev18004805m|Xelaev18004805m.g
Xelaev18004807m|suclg1.L
Xelaev18004808m|Xelaev18004808m.g
Xelaev18004809m|lrrtm1.L
Xelaev18004810m|ctnna2.L
Xelaev18004811m|adra1d.L
Xelaev18004812m|Xelaev18004812m.g
Xelaev18004813m|LOC100496115.L
Xelaev18004814m|Xelaev18004814m.g
Xelaev18004815m|smox.L
Xelaev18004816m|rnf24.L
Xelaev18004817m|Xelaev18004817m.g
Xelaev18004819m|pank2.L
Xelaev18004820m|Xelaev18004820m.g
Xelaev18004821m|Xetrov90000224m.L
Xelaev18004822m|ptpra.L
Xelaev18004823m|gnrh2.L
Xelaev18004824m|oxt.L
Xelaev18004825m|avp.L
Xelaev18004826m|ubox5.L
Xelaev18004827m|fastkd5.L
Xelaev18004828m|Xelaev18004828m.g
Xelaev18004829m|lzts3.L
Xelaev18004830m|LOC779549.L
Xelaev18004831m|Xelaev18004831m.g
Xelaev18004832m|Xelaev18004832m.g
Xelaev18004833m|Xelaev18004833m.g
Xelaev18004834m|Xelaev18004834m.g
Xelaev18004835m|gfra4.L
Xelaev18004836m|Xelaev18004836m.g
Xelaev18004837m|atrn.L
Xelaev18004838m|Xelaev18004838m.g
Xelaev18004839m|Xelaev18004839m.g
Xelaev18004840m|c20orf194.L
Xelaev18004842m|Xelaev18004842m.g
Xelaev18004843m|Xelaev18004843m.g
Xelaev18004844m|Xelaev18004844m.g
Xelaev18004845m|slc4a11.L
Xelaev18004846m|htr7.L
Xelaev18004847m|Xelaev18004847m.g
Xelaev18004848m|Xelaev18004848m.g
Xelaev18004849m|Xelaev18004849m.g
Xelaev18004852m|Xelaev18004852m.g
Xelaev18004853m|paip2b.L
Xelaev18004854m|siglec1.L
Xelaev18004855m|Xelaev18004855m.g
Xelaev18004856m|tex261.L
Xelaev18004857m|ankrd53.L
Xelaev18004858m|LOC100486585.L
Xelaev18004859m|atp6v1b1.L
Xelaev18004860m|Xetrov90028427m.L
Xelaev18004861m|Xelaev18004861m.g
Xelaev18004862m|Xelaev18004862m.g
Xelaev18004863m|vax2.L
Xelaev18004864m|nagk.L
Xelaev18004865m|exoc6b.L
Xelaev18004866m|Xelaev18004866m.g
Xelaev18004867m|Xelaev18004867m.g
Xelaev18004868m|cyp26b1.L
Xelaev18004869m|Xelaev18004869m.g
Xelaev18004870m|dysf-like.L
Xelaev18004871m|Xelaev18004871m.g
Xelaev18004872m|znf638.L
Xelaev18004873m|Xelaev18004873m.g
Xelaev18004874m|cdc25b.L
Xelaev18004875m|adamdec1.L
Xelaev18004876m|spef1.L
Xelaev18004877m|Xelaev18004877m.g
Xelaev18004878m|c20orf27.L
Xelaev18004879m|hspa12b.L
Xelaev18004880m|Xetrov90030062m.L
Xelaev18004881m|lyrm2.L
Xelaev18004882m|Xelaev18004882m.g
Xelaev18004883m|LOC100489054.L
Xelaev18004884m|LOC100127651.L
Xelaev18004885m|Xelaev18004885m.g
Xelaev18004886m|Xelaev18004886m.g
Xelaev18004887m|cpxm1.L
Xelaev18004888m|nat8b-like.L
Xelaev18004889m|LOC100489204.L
Xelaev18004890m|loc100489358.L
Xelaev18004891m|nat8.L
Xelaev18004892m|LOC101731538-like.L
Xelaev18004893m|Xelaev18004893m.g
Xelaev18004894m|dctn1.L
Xelaev18004895m|adam33.L
Xelaev18004896m|pced1a.L
Xelaev18004897m|LOC100490023.L
Xelaev18004898m|Xelaev18004898m.g
Xelaev18004899m|Xelaev18004899m.g
Xelaev18004901m|Xelaev18004901m.g
Xelaev18004902m|loc100490368.L
Xelaev18004903m|smyd5.L
Xelaev18004904m|glod5.L
Xelaev18004905m|pradc1.L
Xelaev18004907m|cct7.L
Xelaev18004908m|fbxo41.L
Xelaev18004909m|egr4.L
Xelaev18004910m|alms1.L
Xelaev18004911m|Xelaev18004911m.g
Xelaev18004912m|Xelaev18004912m.g
Xelaev18004913m|not.L
Xelaev18004914m|Xelaev18004914m.g
Xelaev18004915m|Xelaev18004915m.g
Xelaev18004916m|rab11fip5.L
Xelaev18004917m|Xelaev18004917m.g
Xelaev18004918m|sfxn5.L
Xelaev18004919m|Xelaev18004919m.g
Xelaev18004920m|Xelaev18004920m.g
Xelaev18004921m|emx1.2.L
Xelaev18004922m|Xelaev18004922m.g
Xelaev18004924m|spr.L
Xelaev18004925m|Xelaev18004925m.g
Xelaev18004926m|Xelaev18004926m.g
Xelaev18004927m|Xelaev18004927m.g
Xelaev18004928m|Xelaev18004928m.g
Xelaev18004929m|Xelaev18004929m.g
Xelaev18004930m|Xelaev18004930m.g
Xelaev18004931m|Xelaev18004931m.g
Xelaev18004932m|Xelaev18004932m.g
Xelaev18004933m|LOC101731893.L
Xelaev18004934m|LOC100498444.L
Xelaev18004935m|Xelaev18004935m.g
Xelaev18004936m|LOC100491220.L
Xelaev18004937m|Xelaev18004937m.g
Xelaev18004938m|Xelaev18004938m.g
Xelaev18004939m|Xetrov90000075m.L
Xelaev18004940m|Xelaev18004940m.g
Xelaev18004941m|Xelaev18004941m.g
Xelaev18004942m|Xelaev18004942m.g
Xelaev18004943m|Xetrov90000036m.L
Xelaev18004944m|Xelaev18004944m.g
Xelaev18004945m|Xelaev18004945m.g
Xelaev18004946m|Xelaev18004946m.g
Xelaev18004947m|Xelaev18004947m.g
Xelaev18004948m|Xelaev18004948m.g
Xelaev18004949m|Xelaev18004949m.g
Xelaev18004950m|Xelaev18004950m.g
Xelaev18004951m|Xelaev18004951m.g
Xelaev18004952m|Xelaev18004952m.g
Xelaev18004953m|Xetrov90030605m.L
Xelaev18004954m|Xelaev18004954m.g
Xelaev18004955m|Xelaev18004955m.g
Xelaev18004956m|Xelaev18004956m.g
Xelaev18004957m|Xetrov90030233m.L
Xelaev18004958m|v2rd-1.L
Xelaev18004959m|Xelaev18004959m.g
Xelaev18004960m|Xelaev18004960m.g
Xelaev18004961m|Xetrov90000012m.L
Xelaev18004962m|Xelaev18004962m.g
Xelaev18004963m|Xelaev18004963m.g
Xelaev18004964m|Xetrov90030004m.L
Xelaev18004965m|Xetrov90000030m.L
Xelaev18004966m|Xelaev18004966m.g
Xelaev18004967m|Xelaev18004967m.g
Xelaev18004968m|Xetrov90027988m.L
Xelaev18004969m|Xelaev18004969m.g
Xelaev18004970m|Xelaev18004970m.g
Xelaev18004971m|Xetrov90000160m.L
Xelaev18004972m|Xelaev18004972m.g
Xelaev18004973m|Xelaev18004973m.g
Xelaev18004974m|igkc.L
Xelaev18004975m|Xelaev18004975m.g
Xelaev18004976m|Xelaev18004976m.g
Xelaev18004977m|Xelaev18004977m.g
Xelaev18004978m|igkv1or2-118.L
Xelaev18004979m|Xelaev18004979m.g
Xelaev18004980m|Xelaev18004980m.g
Xelaev18004981m|Xetrov90028800m.L
Xelaev18004982m|Xelaev18004982m.g
Xelaev18004983m|Xetrov90027989m.L
Xelaev18004984m|loc734128.L
Xelaev18004985m|rpia.L
Xelaev18004986m|Xelaev18004986m.g
Xelaev18004987m|krcc1.L
Xelaev18004988m|smyd1.L
Xelaev18004989m|fabp1.L
Xelaev18004990m|thnsl2.L
Xelaev18004991m|foxi4.1.L
Xelaev18004992m|foxi4.2.L
Xelaev18004993m|Xelaev18004993m.g
Xelaev18004994m|LOC100490372.L
Xelaev18004995m|eif2ak3.L
Xelaev18004996m|cd8b.L
Xelaev18004997m|cd8a.L
Xelaev18004998m|rmnd5a.L
Xelaev18004999m|rnf103.L
Xelaev18005000m|chmp3.L
Xelaev18005001m|kdm3a-like.L
Xelaev18005002m|Xelaev18005002m.g
Xelaev18005003m|kdm3a.L
Xelaev18005004m|reep1.L
Xelaev18005005m|immt.L
Xelaev18005006m|ptcd3.L
Xelaev18005007m|mrpl35.L
Xelaev18005008m|polr1a.L
Xelaev18005009m|st3gal5.L
Xelaev18005010m|Xelaev18005010m.g
Xelaev18005011m|atoh8.L
Xelaev18005012m|Xelaev18005012m.g
Xelaev18005013m|fgfrl1.L
Xelaev18005014m|Xelaev18005014m.g
Xelaev18005015m|gp25l.L
Xelaev18005016m|spon2.L
Xelaev18005017m|ctbp1.L
Xelaev18005018m|Xelaev18005018m.g
Xelaev18005019m|maea.L
Xelaev18005020m|uvssa.L
Xelaev18005021m|nkx1-1.L
Xelaev18005022m|fam53a.L
Xelaev18005023m|Xelaev18005023m.g
Xelaev18005024m|slbp.L
Xelaev18005025m|tmem129.L
Xelaev18005027m|tacc3.L
Xelaev18005028m|Xelaev18005028m.g
Xelaev18005029m|Xelaev18005029m.g
Xelaev18005030m|fgfr3.L
Xelaev18005031m|Xelaev18005031m.g
Xelaev18005032m|letm1.L
Xelaev18005033m|Xelaev18005033m.g
Xelaev18005034m|whsc1.L
Xelaev18005035m|LOC100492954.L
Xelaev18005036m|nelfa.L
Xelaev18005037m|c4orf48.L
Xelaev18005038m|Xelaev18005038m.g
Xelaev18005039m|nat8l.L
Xelaev18005040m|poln.L
Xelaev18005041m|LOC101732961.L
Xelaev18005042m|haus3.L
Xelaev18005043m|mxd4.L
Xelaev18005044m|Xelaev18005044m.g
Xelaev18005045m|Xelaev18005045m.g
Xelaev18005046m|zfyve28-like.1.L
Xelaev18005047m|cfap99.L
Xelaev18005049m|rnf4.L
Xelaev18005050m|fam193a.L
Xelaev18005051m|tnip2.L
Xelaev18005052m|sh3bp2.L
Xelaev18005053m|Xelaev18005053m.g
Xelaev18005054m|add1.L
Xelaev18005055m|Xelaev18005055m.g
Xelaev18005056m|mfsd10.L
